poi_category,poi_lat,poi_lon
school,2.8992491,101.870694
school,2.7514699,101.4427118
school,3.0134749,101.5639427
school,3.0815137,101.509802
school,2.7967315,101.7470063
school,2.7944404,101.7497271
school,2.9933291,101.7945784
school,2.9943954,101.7950449
school,3.2142439,101.5687107
school,2.9460433,101.7494023
school,2.9630473,101.7373318
school,2.9699867,101.7578938
school,3.1532054,101.7542227
school,3.1665327,101.4243785
school,3.16138,101.4214495
school,3.1668496,101.4349713
school,3.0070537,101.7975547
school,3.1523024,101.5923247
school,3.2813274,101.5469817
school,2.9309129,101.8632796
school,2.6762725,101.515089
school,2.6779536,101.5151244
school,3.5979741,101.0715188
school,3.1616332,101.5131968
school,3.1383408,101.7579612
school,3.1030206,101.5281498
school,3.1031546,101.5283389
school,3.1071443,101.5350994
school,3.0980628,101.5361014
school,3.096725,101.5364824
school,3.0238718,101.5820348
school,2.9794592,101.6049783
school,3.0231573,101.6184416
school,3.0472848,101.5869848
school,3.2550943,101.673755
school,3.047158,101.5868962
school,3.047585,101.5874328
school,3.0814359,101.5395384
school,3.0777418,101.6541816
school,3.0744909,101.6427774
school,2.8320026,101.6275627
school,2.8320059,101.6282872
school,2.8354676,101.5987353
school,2.8382461,101.5866071
school,2.8244705,101.6325553
school,2.8386243,101.6446551
school,2.8427325,101.6440314
school,2.8369264,101.6306282
school,2.8511927,101.6715573
school,2.8804619,101.6699877
school,2.8536558,101.6884887
school,3.4221203,101.6300032
school,2.8272156,101.5410581
school,2.9504304,101.4414945
school,2.9242777,101.4363586
school,3.0892555,101.517245
school,3.0732127,101.6303276
school,2.8043339,101.6106055
school,3.081424,101.4985073
school,3.081489,101.4983461
school,2.9910827,101.7935695
school,2.9884667,101.7707008
school,2.9804813,101.7776492
school,3.4666385,101.6447044
school,3.0605167,101.5821669
school,3.5420757,101.6626524
school,3.5417227,101.663498
school,3.5229731,101.6332972
school,3.5670704,101.6580924
school,3.5675657,101.6575211
school,3.5682751,101.657328
school,3.5733147,101.6545265
school,3.4316086,101.5913871
school,2.9608831,101.756331
school,3.692521,100.937556
school,3.769019,100.985301
school,3.0460538,101.586412
school,3.2454891,101.4262139
school,3.0558525,101.395034
school,3.5671792,101.5871711
school,3.5862929,101.5996603
school,3.0467183,101.5908357
school,3.0354089,101.7661721
school,3.680346,100.986595
school,3.1608717,101.7589325
school,2.9260881,101.8493676
school,3.7121838,101.0068788
school,3.0208291,101.7232556
school,2.9333278,101.5482654
school,2.7951698,101.6180288
school,2.6605447,101.6734129
school,2.8273818,101.4455591
school,2.8271501,101.4455511
school,2.8267871,101.4452963
school,2.826696,101.4452949
school,2.8266036,101.4452963
school,2.8272626,101.4456195
school,3.0404134,101.2770674
school,3.0440819,101.6912827
school,3.7606677,101.073597
school,3.728491,101.0733325
school,3.0152327,101.7714264
school,3.0516462,101.7460417
school,3.3504337,101.5859379
school,2.9938878,101.5045791
school,3.1474718,101.7586249
school,3.1527197,101.7703127
school,3.1527952,101.7703575
school,2.9932046,101.4205416
school,2.9846603,101.5315487
school,2.822884,101.5339384
school,2.9426168,101.7895724
school,2.9435223,101.7896282
school,3.0426613,101.424118
school,3.0046219,101.7263603
school,3.2033518,101.4873123
school,3.2473529,101.7263017
school,3.2473493,101.7268319
school,3.1763406,101.5479933
school,3.2355703,101.4285959
school,3.093639,101.6328707
school,3.1762863,101.5463503
school,3.1760849,101.5463272
school,3.2009035,101.485775
school,3.1245112,101.6023693
school,2.9235783,101.651621
school,3.1502535,101.5316361
school,3.0786322,101.6145028
school,3.092563,101.6446296
school,3.0914788,101.6445868
school,3.0921029,101.603145
school,3.1074427,101.6140911
school,3.1943997,101.5957716
school,3.1123078,101.6342439
school,3.2429668,101.4277726
school,3.0919501,101.6445554
school,3.0929725,101.6446228
school,3.1159429,101.6343904
school,3.2402215,101.4273695
school,3.8436688,100.9344136
school,3.1786469,101.5442196
school,3.1645997,101.5138115
school,3.1886698,101.5324655
school,3.1794795,101.5430158
school,3.1785366,101.5438024
school,3.2435034,101.4231711
school,3.1798027,101.5429033
school,3.1777654,101.5437813
school,3.1780389,101.5433594
school,3.1778526,101.5433699
school,3.1776441,101.5433757
school,3.1776617,101.5452057
school,3.2459204,101.4268553
school,3.1864346,101.5252979
school,3.1858171,101.5253064
school,3.8244604,100.8755753
school,2.962566,101.7798124
school,2.9545133,101.7790608
school,2.943895,101.7697461
school,2.9383532,101.7806801
school,3.233207,101.4134067
school,2.9640052,101.7522794
school,2.8859996,101.7897542
school,3.1064247,101.5465644
school,3.1127232,101.5767296
school,3.2411677,101.4469934
school,3.0660324,101.4849147
school,3.1778949,101.5456751
school,2.9020499,101.7627358
school,2.9472653,101.4378121
school,2.9322384,101.4347414
school,3.0134595,101.4471112
school,3.0863517,101.4963765
school,3.0860564,101.49385
school,3.0368679,101.519089
school,3.0371195,101.5173227
school,3.2159818,101.7406243
school,3.3315011,101.5353547
school,3.0836735,101.765665
school,3.0832325,101.5396849
school,3.082798,101.5395666
school,3.0827764,101.5395785
school,3.0925017,101.5440836
school,3.0341259,101.5374303
school,3.0967204,101.6115266
school,2.9837148,101.7914488
school,3.0176808,101.553568
school,3.1147433,101.7557885
school,3.1127403,101.767154
school,3.3098962,101.5438181
school,3.3201226,101.5091158
school,3.3235555,101.5266647
school,3.0032891,101.8714089
school,3.1777482,101.5459855
school,3.047284,101.7578065
school,3.0362183,101.7592449
school,3.0361627,101.7592234
school,3.039276,101.6364111
school,3.1137161109796643,101.76142111771964
school,3.0402734194962324,101.51885470088362
school,3.016772404048228,101.5701752609301
school,3.010641408686851,101.57086264149531
school,3.0025262588278308,101.56836194981904
school,3.0128259662624393,101.56855161918755
school,3.09694161213956,101.4834093558775
school,3.1142487813046795,101.45081245614365
school,3.2013765132050622,101.54573352515997
school,3.047472287078815,101.55469961874236
school,3.0808470278726694,101.60742302873732
school,3.0794735612562913,101.65944959562707
school,3.0804525208112508,101.66051125284913
school,3.1008735354015466,101.60760821364163
school,3.1024417392449015,101.61338391596186
school,3.0888105986636964,101.65825174199266
school,3.0884209814095236,101.65209996282691
school,3.0998999844754227,101.65016626833207
school,3.09557004905659,101.62543015580859
school,3.0981946275612997,101.63124571953122
school,3.1041056132393465,101.62581834837879
school,3.102292560113275,101.62830901032105
school,3.111416849717128,101.64698171301123
school,3.1068429563868167,101.6515544369497
school,3.1077772394119387,101.6515975584228
school,3.130693763982772,101.63115216013188
school,3.1241432638989015,101.626083715997
school,3.1167159812152643,101.62560950668208
school,3.1166743693132513,101.60735109962079
school,3.1233700566910487,101.61619870625097
school,3.1225429309263912,101.61499080717469
school,3.136331127659742,101.62539800099962
school,3.136331127659742,101.62539800099962
school,3.14034976469297,101.62272940064562
school,3.107919810103735,101.64121128174142
school,3.0851146728378995,101.64848735333315
school,3.084653079134935,101.6487504101318
school,3.0900371891473855,101.6495952581745
school,3.243757820972645,101.65595015037322
school,2.8289080633915007,101.70058740015763
school,2.9562046794676125,101.58180954562681
school,2.957335590684406,101.5809838941231
school,3.7087211541455662,101.1335245398477
school,3.684603373727872,101.39015220307898
school,3.6838729386501576,101.38933722170002
school,3.072761975346535,101.5249503990774
school,3.2159837643008458,101.63474222038819
school,3.0280190957750337,101.61427378183876
school,3.0843137256379887,101.51032371730821
school,3.087887182908837,101.50818534601339
school,3.050210025594506,101.50012474084994
school,3.0438982986013903,101.50369992523112
school,3.0480889876686947,101.51524547257624
school,3.0554715826966428,101.54044347909114
school,3.0551711111409454,101.50422570772349
school,3.0773251088394042,101.50756536652308
school,3.083482611590652,101.53860136333086
school,3.0463746084854884,101.42832018064584
school,2.992513051624026,101.44233885976922
